placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Dashboard,3,100,"Min Max Scaler(0,1)","(None, 100, 357)","(None, 3)",0.21052871644496918,0.24574488401412964,0.912182092666626,0.8947798013687134
Dashboard,3,200,"Min Max Scaler(0,1)","(None, 200, 357)","(None, 3)",0.09876102209091187,0.22173331677913666,0.9609111547470093,0.9115886688232422
Dashboard,3,300,"Min Max Scaler(0,1)","(None, 300, 357)","(None, 3)",0.16402287781238556,0.19233596324920654,0.9394514560699463,0.9257143139839172
