placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Above Suspension,1,100,"min-max-scaler (-1, 1)","(None, 100, 7)","(None, 3)",0.28355419635772705,0.29350006580352783,0.8718499541282654,0.9011780023574829
Above Suspension,1,200,"min-max-scaler (-1, 1)","(None, 200, 7)","(None, 3)",0.21564117074012756,0.2618687152862549,0.9110569953918457,0.9261780381202698
Above Suspension,1,300,"min-max-scaler (-1, 1)","(None, 300, 7)","(None, 3)",0.3048742413520813,0.3439443111419678,0.8845657706260681,0.9410840272903442
