placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Dashboard,3,100,"Min Max Scaler(0,1)","(None, 100, 357)","(None, 3)",0.05276224762201309,0.48423779010772705,0.9820148944854736,0.8830886483192444
Dashboard,3,200,"Min Max Scaler(0,1)","(None, 200, 357)","(None, 3)",0.05434958264231682,0.40236741304397583,0.9794713258743286,0.9056039452552795
Dashboard,3,300,"Min Max Scaler(0,1)","(None, 300, 357)","(None, 3)",0.14696717262268066,0.24585387110710144,0.945147693157196,0.9126530885696411
