placement,experiment,window,scaler,input_shape,output_shape,train_loss,val_loss,train_acc,val_acc
Below Suspension,2,100,"min-max-scaler (-1, 1)","(None, 100, 7)","(None, 3)",0.06942801922559738,0.42458856105804443,0.9741643667221069,0.8959712982177734
Below Suspension,2,200,"min-max-scaler (-1, 1)","(None, 200, 7)","(None, 3)",0.07449696213006973,0.3502854108810425,0.9719977974891663,0.9103201031684875
Below Suspension,2,300,"min-max-scaler (-1, 1)","(None, 300, 7)","(None, 3)",0.01859886199235916,0.45966845750808716,0.9943562150001526,0.9204639792442322
